Id; WordId; Source; Translation
0; 1; Jest to zwiększenie średnio 1, 5 - do - 2- krotne, co związane jest z 1, 5- krotnym zwiększeniem stężenia AGP w osoczu, który jest białkiem silnie wiążącym imatynib.; The increase is approximately 1.5- to 2-fold, corresponding to a 1.5-fold elevation of plasma AGP, to which imatinib binds strongly.
1; 2; Być może Ben Zander i Bill Gates mogliby się dogadać i stworzyć operę o AIDS.; Perhaps Ben Zander and Bill Gates could get together and make an opera about AIDS.
2; 3; blister (Aclar / PCW/ alu) w zewnętrznym opakowaniu tekturowym uszczelnionym na gorąco; Film-coated tablet Film-coated tablet Film-coated tablet Film-coated tablet Film-coated tablet
3; 4; standard wyświetlania ANSI; ANSI screen control
4; 5; Pacjentów z APL zazwyczaj leczy się retinoidami (substancjami będącymi pochodnymi witaminy A).; Patients with APL are normally treated with retinoids (substances derived from vitamin A).
5; 6; Produkt ten można stosować jako element strategii leczenia Alergicznego Pchlego Zapalenia Skóry (APZS).; The veterinary medicinal product can be used as part of a treatment strategy for the control of Flea Allergy Dermatitis (FAD).
6; 9; Akt Unii z 1707; Acts of Union in 1707
7; 11; Eisai Manufacturing Limited Mosquito Way Hatfield Herts AL10 9SN Wielka Brytania; Eisai Manufacturing Limited Mosquito Way Hatfield Herts AL10 9SN United Kingdom
8; 13; Mój stan, Alabama, jak i kilka innych, odbiera prawa wyborcze osobom w przeszłości skazanym.; My state of Alabama, like a number of states, actually permanently disenfranchises you if you have a criminal conviction.
9; 16; Turcja była przez lata opieszała, jeśli chodzi o ochronę praw mniejszości religijnych takich jak alawici czy chrześcijanie.; Turkey has been slow over the years to protect the rights of religious minorities, such as the Alawites and Christians.
10; 18; Tym razem podejście jest podobne, ponieważ używam, jak w produkcie Andrea, pewnych roślin.; This one is kind of the same approach because I include, in a product like Andrea, some plants.
11; 23; architektura sieci systemowych; Systems Network Architecture
12; 24; Serbia może i musi uczynić znacznie więcej, by ich aresztować.; Serbia can, and must, do a lot more to arrest them.
13; 30; Bandar Seri Begawan; Bandar Seri Begawan
14; 33; W związku z tym Bank Światowy mógłby działać jako partner krajów rozwijających się.; The World Bank could therefore act as a partner to the developing countries.
15; 35; A ujrzawszy Jezusa chodzącego, rzekł: Oto Baranek Boży!; and he looked upon Jesus as he walked, and saith, Behold, the Lamb of God!
16; 37; . ~~~ Pracowałem trochę w MICROSOFT nad dinozaurem Barney.; So the challenge was -- I worked for Microsoft for a little bit, working on the Microsoft Barney.
17; 38; Ten przerost możliwości stwarza problemy które Biały Dom nazywa katastroficznymi sukcesami.; So that overmatched capability creates problems -- catastrophic successes the White House calls them.
18; 39; Poważnie ucierpiała Bretania, region mojego kolegi i przyjaciela - pana posła Cadeca.; Brittany, the region of my colleague and friend, Mr Cadec, has been severely affected.
19; 41; Brian Crowley powiedział prezydentowi Klausowi, że Irlandczycy pragną traktatu lizbońskiego.; Brian Crowley said to President Klaus that the Irish wish for the Lisbon Treaty.
