Id; Source; Translation
0; ADSL; ADSL
1; AGP; AGP
2; AIDS; AIDS
3; ALU; ALU
4; ANSI; ANSI
5; APL; APL
6; APZS; flea allergy dermatitis
7; Akcja "Wisła"; Operation Vistula
8; Akropol; Acropolis
9; Akt Unii z 1707; Acts of Union in 1707
10; Akwitania; Aquitaine
11; Al; Al
12; Al-Ujun; El Aaiún
13; Alabama; Alabama
14; Alamanowie; Alemanni
15; Alanowie; Alani
16; Alawici; Alevites
17; Albanka; Albanian
18; Andrea; Andrea
19; ara błękitna; Indigo Macaw
20; ara żółtoskrzydła; macaw
21; architektura mikroprocesora; microprocessor architecture
22; architektura otwarta; open architecture
23; architektura sieci; network architecture
24; aresztować; arrest
25; argillit; argillite
26; Balijczyk; Balinese
27; Balrog; Balrog
28; Baltona; duty-free store at airport
29; Bambry; Poles of German origin who moved from the area of Bamberg to villages surrounding Poznań
30; Bandar Seri Begawan; Bandar Seri Begawan
31; Bangalur; Bangalore
32; Bangkok; Bangkok
33; Bank Światowy; World Bank
34; Bantu; Bantu
35; Baranek Boży; Lamb of God
36; Bardzo mi się tu podoba!; I like it here a lot
37; Barney; Barney
38; Biały Dom; White House
39; Bretania; Brittany
40; Bretończyk; Breton
41; Brian; Brian
42; Brighton; Brighton
43; Bristol; Bristol
44; Bruce; Bruce
45; Brunei; Brunei
46; Brygida; Bride
47; Brytyjczycy; the British
48; Brytyjka; Briton
49; Brytyjskie Wyspy Dziewicze; British Virgin Islands
50; Budapeszt; Budapest
51; Buenos Aires; Buenos Aires
52; bezspornie; indisputably
53; bezsprzecznie; unquestionably
54; bezstanowy; stateless
55; bezstronnie; without fear or favour
56; bezstronny; impartial
57; bezszelestnie; noiselessly
58; bezszeryfowy; sans serif
59; bezterminowo; for an indefinite period
60; beztlenowy; anaerobic
61; beztroski, niefrasobliwy; unconcerned
62; beztłuszczowa masa mięśniowa; lean muscle mass
63; bezustannie; ceaselessly
64; bezusterkowy; faultless
65; bezwartościowy; valueless
66; bezwarunkowo; implicitly
67; bezwarunkowy; unconditional
68; bezwględność; impartiality
69; bezwiedny; automatic
70; biała fasola; cannellini bean
71; biała księga; White Paper
72; białas; fair-haired person
73; białe; white
74; białe noce; white nights
75; bibliograficzny; bibliographical
76; bibliologia; bibliology
77; biblioteka; library
78; biblioteka wirtualna; Virtual Library
79; bibliotekarstwo; library science
80; bibliotekarz akademicki; academic librarian
81; bibliotekoznawstwo; library science
82; biblista; biblicist
83; bibosz; tippler
84; bibuła do sączenia; filter paper
85; biceps; biceps
86; bicepsy; guns
87; bicie czołem; prostration
88; brzezina; birchwood forest
89; brzmi dobrze; sounds good
90; brzmienie Motown; Motown sound
91; brzmieć prawdziwie; ring true
92; brzmieć znajomo; ring a bell
